regulation_id,reservoir_name_en,season,period_start_mmdd,period_end_mmdd,constraint_type,level_min_m,level_max_m,article_ref,,,
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,421,430,dry_operating_band,117.1,120.1,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,501,510,dry_operating_band,116.5,119.5,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,511,520,dry_operating_band,115.5,118.5,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,521,531,dry_operating_band,113.8,116.8,Appendix III,,,10
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,601,610,dry_operating_band,111.9,114.9,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,611,620,dry_operating_band,110.4,113.4,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,621,630,dry_operating_band,109.2,112.2,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,701,710,dry_operating_band,108.3,111.3,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,711,720,dry_operating_band,106.5,109.5,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,721,731,dry_operating_band,104.2,107.2,Appendix III,,,10
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,801,810,dry_operating_band,101.6,104.6,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,811,820,dry_operating_band,100,103,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,NuocTrong,dry_season,821,831,dry_operating_band,97.7,100.7,Appendix III,,,10
qd_911_qd_ttg_2018_tra_khuc,SonTay,flood_season,901,1215,safety_levels,,202.76,Article 1.1.a; Article 4.5,,,314
qd_911_qd_ttg_2018_tra_khuc,SonTra1A,flood_season,901,1215,safety_levels,,202.25,Article 1.1.a; Article 4.3,,,314
